,id,Time,Tweet
166,392375138,2023-01-30 11:46:24+00:00,"b'4/ The 1918 Spanish flu pandemic, measles outbreaks in schools and SARS all show that living conditions can play a\xe2\x80\xa6 https://t.co/43g3mbwewO'"
167,823582748002709506,2023-01-30 11:46:16+00:00,"b'@TheAnaBraga @ElijahSchaffer In reality,  thousands of chickens have had to be euthanized due to Avian flu. https://t.co/bZrL54K8wp'"
170,43689044,2023-01-30 11:45:53+00:00,b'Flu a try offa me https://t.co/eFpX0NCTiN'
172,402109798,2023-01-30 11:45:40+00:00,b'@TheFanzonePod I\xe2\x80\x99m gutted I missed the show yesterday(wife has flu so I was on Nursing duty) \xf0\x9f\x98\x95 just doing a catch-up now #thefanzone  #bwfc'
173,27265230,2023-01-30 11:45:27+00:00,b'@EvaSaraLindberg @MartinJordo @bjornpiltz @filipperss Thanks for asking the questions @filipperss. So depressing to\xe2\x80\xa6 https://t.co/6vWGaUV8Nl'
175,1602701253582225437,2023-01-30 11:45:12+00:00,"b'RT @Jimcorrsays: Prepare yourselves for STROKE season folks, it\xe2\x80\x99s in between flu season and heart attack season for those who don\xe2\x80\x99t know.\xe2\x80\xa6'"
176,60648981,2023-01-30 11:45:09+00:00,b'@peter_king Mahomes played like Jordan in Flu Game or Willis Reed in G7 1970. But Ron Torbert was officiating this\xe2\x80\xa6 https://t.co/reAJvmTqYL'
177,934077170338746368,2023-01-30 11:45:01+00:00,b'RT @BristolCouncil: Flu vaccination walk-in clinic for 2-3 year olds at UWE Bristol tomorrow:\n\n\xf0\x9f\x93\x85 Tuesday 31 January\n\xf0\x9f\x95\x9b 11:30am to 2:30pm\n\xf0\x9f\x93\x8d T\xe2\x80\xa6'
178,1513615532330737672,2023-01-30 11:45:00+00:00,b'@backtolife_2023 Because he controls the funding through the gates foundation. He also knows @Vaxart has the soluti\xe2\x80\xa6 https://t.co/NSaL4Insjl'
179,944694662702432261,2023-01-30 11:44:56+00:00,"b""@miles_commodore Yes, bird flu, they had to kill a sh*t load of sick chickens. The ones that are left can't be expe\xe2\x80\xa6 https://t.co/DxluBaqhkO"""
180,1241792438433394688,2023-01-30 11:44:47+00:00,"b'@YaBoyTrashLord What do u call someone who has ALL their vaccines, the flu shot and 2 Covid boosters, who asked his\xe2\x80\xa6 https://t.co/vYM9MFmMM5'"
182,843841927107792897,2023-01-30 11:44:38+00:00,"b""@richardcbishop Sorry to hear you've got the flu. It is bad this year &amp; can last 10 days or more. I started of with\xe2\x80\xa6 https://t.co/FA16xMjv8H"""
184,3236968104,2023-01-30 11:44:22+00:00,"b""Part 2/2\nThe mass media will claim that climate change or avian flu is the reason why the chickens aren't laying eg\xe2\x80\xa6 https://t.co/nwRWzopaBj"""
185,40510424,2023-01-30 11:44:21+00:00,b'@SoozUK The vaccines work I\xe2\x80\x99ve had 4 of the things. Most stressful year of my existence and no hospital admission d\xe2\x80\xa6 https://t.co/ou4e1xg1Uw'
186,39050397,2023-01-30 11:44:10+00:00,b'@aliht14 @disclosetv I foresee the sunsetting of the traditional flu vaccine. Combined flu/covid mRNA shot to becom\xe2\x80\xa6 https://t.co/LXnHfPwwFC'
187,283900786,2023-01-30 11:44:08+00:00,b'@vaxine_news I developed CFS/ME after flu jab 20 years ago. It took me 12 months to recover'
188,1588583659464015872,2023-01-30 11:43:56+00:00,b'@PhilHollowayEsq @healthbyjames My whole family survived it unvaccinated. It\xe2\x80\x99s like the flu w/ similar symptoms.'
189,25138684,2023-01-30 11:43:55+00:00,b'@tylerjterry @healthbyjames So does cold and flu. Stop pushing the poison. It doesn\xe2\x80\x99t work. It\xe2\x80\x99s cause injury.'
190,1541578787413950464,2023-01-30 11:43:54+00:00,b'Keto Flu is really sugar withdrawal and electrolyte deprivation.  If you are experiencing flu-like symptoms as you\xe2\x80\xa6 https://t.co/ZDk8YP2Mb2'
194,1059056696977440768,2023-01-30 11:43:27+00:00,b'@RefilweMorifi You are stuck in the past with this covid nonsense. Get used to treating covid like any other flu.'
195,355106476,2023-01-30 11:43:24+00:00,"b'@Doritos_N_MtDew @EssexPR @disclosetv Im not sure, do you believe that flu totally disappeared ?'"
200,715737640213942272,2023-01-30 11:43:06+00:00,b'@AltHistoryHub Meh maybe Swine flu'
201,60343552,2023-01-30 11:42:56+00:00,b'Flu and gastroenteritis in the same month? My body despises me https://t.co/pAQkoUbMJZ'
202,1602701253582225437,2023-01-30 11:42:54+00:00,"b'RT @robinmonotti: ""Getting Pfizer\'s Covid booster and flu vaccine on the same day may raise the risk of a STROKE, FDA says""\nhttps://t.co/VB\xe2\x80\xa6'"
204,830508830320496640,2023-01-30 11:42:32+00:00,"b'@C25216702C @justcallme_kari Mine are that many too , counting flu shots.   They are pretty much incoherent tho.'"
207,938946974,2023-01-30 11:42:24+00:00,b'RT @IQVIA_Institute: Pharmacies play an important role in the overall flu vaccination process. Learn about their role in immunization in th\xe2\x80\xa6'
209,24457892,2023-01-30 11:42:07+00:00,"b'@BootsHelp @BootsUK turned up for my flu vaccination only to be told they don\xe2\x80\x99t have any?! Why didn\xe2\x80\x99t they tell me,\xe2\x80\xa6 https://t.co/Plo6Wc4Ov7'"
211,391186155,2023-01-30 11:41:56+00:00,b'RT @ClaireJen79: @WHO @DrTedros @WHOEMRO @WHO_Europe @WHOSEARO @WHOWPRO @WHOSouthAfrica @pahowho @PAHOCaribbean @WHOAFRO @WHOIndonesia @WHO\xe2\x80\xa6'
212,1545945797191401472,2023-01-30 11:41:55+00:00,b'This flu aaa someone please sedut. Ughh'
213,25258956,2023-01-30 11:41:51+00:00,"b'Went all the way to the emergency room, just for them to tell me I got the flu and prescribe me some Benadryl \xf0\x9f\x98\x92.'"
214,1599198530077429765,2023-01-30 11:41:48+00:00,"b'@miles_commodore 1. Questionable fires at major egg producer\n\n2. ""Bird flu"" killed lots of chickens \n\n3. Chickens f\xe2\x80\xa6 https://t.co/cLaRBd7HvP'"
218,1525187043197853698,2023-01-30 11:41:20+00:00,"b""my afternoon classes got cancelled due to my teacher having the flu, which means I'll be home alone for 2 hours and\xe2\x80\xa6 https://t.co/JkmVihbVMO"""
220,1104052466528776192,2023-01-30 11:41:03+00:00,b'@healthbyjames It was  just like having the flu'
