,id,Time,Tweet
136,17077026,2023-02-14 15:24:19+00:00,b' AEDES AEGYPTI\n\nAplicacao de inseticida e feita em pontos estrategicos apos a identificacao de larvas em Novo Hamb... https://t.co/0t2qp9PXiB'
138,1546861916886286336,2023-02-14 15:23:14+00:00,"b'""Para evitar la propagacion del dengue y chinkungunya se debe trabajar en la limpieza y fumigacion desde temprano,... https://t.co/ctxyKtvvu5'"
140,1966396326,2023-02-14 15:21:44+00:00,"b'Santa Cruz: en las ultimas horas, dos menores fallecieron con sintomas de dengue https://t.co/vT1Hob1cWl'"
141,3085026177,2023-02-14 15:21:42+00:00,"b'#esUltimo| Salud reporta 6.453 casos de dengue, Santa Cruz concentra el 75% https://t.co/VPZG0w4PZ5'"
142,1380512110573158403,2023-02-14 15:20:46+00:00,"b' Ante el aumento de notificaciones de chikungunya y dengue, y en el afan de controlar la proliferacion del mosquit... https://t.co/bUW7QNtgbR'"
146,1407508221540044802,2023-02-14 15:19:52+00:00,"b'#URGENTE\nSanta Cruz: en las ultimas horas, dos menores fallecieron con sintomas de dengue  UHTV\n\nAmbos casos son d... https://t.co/kkmkljytR7'"
147,2800854409,2023-02-14 15:19:20+00:00,"b'#Dengue |Despues de un peregrinaje por atencion, los pequenos de poco mas de un mes de nacidos perdieron la vida... https://t.co/a7KZbojTcM'"
148,791977010797174784,2023-02-14 15:19:18+00:00,"b'@NordestePatrio1 Esses mosquitos novos da dengue sao fogo , eles mordem o tralha ja cai'"
149,1188610862354972673,2023-02-14 15:19:04+00:00,"b'#Aygun | Muertes por dengue suman una veintena, hay mas de 5.500 casos https://t.co/x408V2BNwD'"
150,1519309238291554305,2023-02-14 15:18:58+00:00,b'@Hentai_de_lol Mosquito da dengue'
151,144678130,2023-02-14 15:17:39+00:00,b'#Bolivia | Dos bebes fallecen con sintomas del dengue en #SantaCruz\nhttps://t.co/RfKwQiUbIQ https://t.co/hU8gVAbuWF'
154,580972566,2023-02-14 15:15:26+00:00,"b'Santa Cruz: en las ultimas horas, dos menores fallecieron con sintomas de dengue https://t.co/cxgJQFkxrp'"
155,1128764142,2023-02-14 15:13:41+00:00,b'Melhorando da dengue e simplesmente ficando com a garganta fodida  eu nao posso ter paz'
157,130330984,2023-02-14 15:11:37+00:00,b'Santa Cruz: dos bebes fallecen con sintomas de dengue https://t.co/yE4uJIA4fl'
158,130330984,2023-02-14 15:11:36+00:00,b'Santa Cruz: dos bebes fallecen con sintomas de dengue https://t.co/yE4uJIA4fl https://t.co/KVtNsWGujP'
159,779468990,2023-02-14 15:11:35+00:00,b'Santa Cruz: dos bebes fallecen con sintomas de dengue https://t.co/mMDgqC0KBf https://t.co/PLexYSr5pz'
160,1488552532829949955,2023-02-14 15:11:26+00:00,"b'#IMPORTANTE: Reportan los tres primeros casos de #dengue tipo 2 en la Zona Sur, centro y norte de Cochabamba... https://t.co/TOMA3wyiyd'"
161,62606094,2023-02-14 15:11:06+00:00,"b'XO, MOSQUITO! \n\n@Saude_Rio prepara equipes municipais para cuidados com dengue, zika e chikungunya.\n\nA Secretaria... https://t.co/TOGhPCecee'"
164,851984458710491136,2023-02-14 15:09:17+00:00,"b'to com febre, cabeca quase explodindo, parece que fumei muita maconha de tao lesada que eu to por causa dessa gripe... https://t.co/8caQBxzy5h'"
165,454839417,2023-02-14 15:09:03+00:00,"b'Si encontras un mosquito en tu casa, es porque tenes un criadero cerca, buscalo y eliminalo para prevenir el contag... https://t.co/lieEQTsCEM'"
170,454839417,2023-02-14 15:05:56+00:00,b'Salud insta a la poblacion a reforzar la prevencion contra el dengue.\n\nMas info https://t.co/1OKCf4OQWl https://t.co/ykwln3eaBX'
171,312960301,2023-02-14 15:05:41+00:00,"b'@JovemPanNews Claro que nao tem mortes, o COVID ta de ferias deixou em seu lugar a Dengue logo mais a pois o carnaval ela volta'"
173,198687436,2023-02-14 15:05:15+00:00,b'Retiro es un pozo de dengue violento y horrendo y nadie hace nada. El fracaso mas grande de toda la gestion de la c... https://t.co/6B6l1QnYE8'
174,1197869601918468102,2023-02-14 15:05:05+00:00,b'Dengue: hay un caso probable en el norte de la ciudad de Santa Fe https://t.co/PYYSdLiXKZ https://t.co/jTtUMawVpB'
175,966099010732855297,2023-02-14 15:05:03+00:00,b'#Bolivia #Salud\nSanta Cruz concentra el 75% de pacientes con #dengue https://t.co/7hwHOWL80K'
176,487705078,2023-02-14 15:02:36+00:00,b'Prefeitura alerta para os cuidados com a Dengue durante o verao https://t.co/O3BOvdXVZq'
177,1601010149837180930,2023-02-14 15:02:09+00:00,"b'De molho em casa hoje porque nao amanheci bem.\nPodendo ser covid, dengue, cansaco, tpm, pensamentos obsessivos ou p... https://t.co/M8B7bLybwK'"
178,1127360412922650624,2023-02-14 15:02:06+00:00,b'@derossi32 @LQuartarollo Sempre quando cai os casos param de falar e alertar de preferencia a importancia da vacina... https://t.co/hGPUiELiXr'
180,1450467034882576400,2023-02-14 15:01:37+00:00,b'@naivittar jamais sera dengue'
181,322278200,2023-02-14 15:01:21+00:00,"b'RN tem 657 casos notificados de dengue em 2023, diz Sesap https://t.co/I8YAtar5Vh'"
182,935136477616443393,2023-02-14 15:01:15+00:00,"b'#BeniLlego en muy mal estado al hospital Materno Infantil, en Trinidad y de acuerdo al estudio se confirmo que la... https://t.co/feRCvLgDEd'"
183,1024396972185280513,2023-02-14 15:01:09+00:00,"b'#BeniLlego en muy mal estado al hospital Materno Infantil, en Trinidad y de acuerdo al estudio se confirmo que la... https://t.co/ClLfGod0UP'"
184,761493541,2023-02-14 15:00:58+00:00,"b'SANTA FE | Lo confirmo al movil de Radio EME,  Cesar Pauloni, director de Salud de la Municipalidad de Santa Fe Se... https://t.co/N676N4MYzb'"
185,1006238732675108864,2023-02-14 15:00:57+00:00,"b'Ayer realmente me senti muy mal pero ya me siento mejor, felizmente no ha sido dengue '"
187,52396205,2023-02-14 15:00:03+00:00,"b'DENGUE\n\nO subsecretario de Estado de Vigilancia em Saude, Luiz Carlos Reblin, concedeu uma coletiva de imprensa ne... https://t.co/xRoWPT4V0d'"
188,177424671,2023-02-14 14:59:02+00:00,b'Hospital de Nemby en estos momentos lleno de pacientes con sintomas de Dengue y Chikungunya.\nNuestro sistema de Sal... https://t.co/JiG17jp8Qt'
189,177745426,2023-02-14 14:59:00+00:00,"b'La Municipalidad de La Plata intensifico la campana para evitar la reproduccion del insecto vector del dengue, el z... https://t.co/nG3M3bVwNv'"
190,1073813074438610944,2023-02-14 14:58:45+00:00,b'Mumbai\n- Malaria\n- Dengue\n- Chikungunya'
