,symptoms1,tags
4844,No,obesity
4854,No,obesity
4856,No,obesity
4867,No,obesity
4885,No,obesity
4909,No,obesity
4910,No,obesity
4913,No,obesity
4918,No,obesity
4949,No,obesity
4959,No,obesity
4962,No,obesity
4963,No,obesity
4968,No,obesity
4977,No,obesity
4993,No,obesity
4994,No,obesity
4999,No,obesity
5003,No,obesity
5007,No,obesity
5011,No,obesity
5015,No,obesity
5020,No,obesity
5024,No,obesity
5026,No,obesity
5036,No,obesity
5039,No,obesity
5043,No,obesity
5050,No,obesity
5051,No,autism
5056,No,autism
5060,No,autism
5070,No,autism
5072,No,autism
5080,No,autism
5087,No,autism
5092,No,autism
5099,No,autism
5107,No,autism
5111,No,autism
5120,No,autism
5126,No,autism
5149,No,autism
5159,No,autism
5170,No,autism
5173,No,autism
5180,No,autism
5195,No,autism
5202,No,autism
5203,No,autism
5204,No,autism
5205,No,autism
5209,No,autism
5212,No,autism
5213,No,autism
5215,No,autism
5217,No,autism
5218,No,autism
5223,No,autism
5224,No,autism
5233,No,autism
5234,No,autism
5243,No,autism
5245,No,autism
5251,No,autism
5255,No,autism
5260,No,autism
5262,No,autism
5280,No,autism
5282,No,autism
5286,No,autism
5288,No,autism
5295,No,autism
5300,No,autism
5301,No,autism
5305,No,autism
5311,No,autism
5314,No,autism
5320,No,autism
5326,No,autism
5328,No,autism
5329,No,autism
5330,No,autism
5333,No,autism
5336,No,autism
5342,No,autism
5344,No,autism
5348,No,autism
5349,No,autism
5373,No,autism
5376,No,autism
5379,No,autism
5394,No,autism
5395,No,autism
5396,No,autism
5399,No,autism
5402,No,autism
5405,No,autism
5406,No,autism
5411,No,autism
5423,No,autism
5436,No,autism
5440,No,autism
5447,No,autism
5452,No,autism
5455,No,autism
5457,No,autism
5458,No,autism
5465,No,autism
5466,No,autism
5469,No,autism
5472,No,autism
5475,No,autism
5476,No,autism
5480,No,autism
5481,No,autism
5495,No,autism
5498,No,autism
5502,No,autism
5504,No,autism
5509,No,autism
5521,No,autism
5530,No,autism
5533,No,autism
5546,No,autism
5548,No,autism
5550,No,autism
5551,No,autism
5552,No,autism
5557,No,autism
5560,No,autism
5571,No,autism
5573,No,autism
5581,No,autism
5592,No,autism
5593,No,autism
5602,No,autism
5605,No,autism
5608,No,autism
5618,No,autism
5620,No,autism
5624,No,autism
5631,No,autism
5633,No,autism
5636,No,autism
5637,No,autism
5650,No,autism
5653,No,autism
5661,No,autism
5662,No,autism
5663,No,autism
5672,No,autism
5673,No,autism
5676,No,autism
5677,No,autism
5686,No,autism
5687,No,autism
5688,No,autism
5692,No,autism
5697,No,autism
5705,No,autism
5708,No,autism
5715,No,autism
5722,No,autism
5724,No,autism
5730,No,autism
5733,No,autism
5737,No,autism
5738,No,autism
5747,No,autism
5749,No,autism
5761,No,autism
5765,No,autism
5771,No,autism
5772,No,autism
5783,No,autism
5787,No,asthma
5797,No,asthma
5808,No,asthma
5816,No,asthma
5819,No,asthma
5820,No,asthma
5830,No,asthma
5839,No,asthma
5840,No,asthma
5842,No,asthma
5850,No,asthma
5852,No,asthma
5858,No,asthma
5867,No,asthma
5869,No,asthma
5881,No,asthma
5886,No,asthma
5894,No,asthma
5896,No,asthma
5897,No,asthma
5898,No,asthma
5899,No,asthma
5900,No,asthma
5912,No,asthma
5919,No,asthma
5924,No,asthma
5928,No,asthma
5937,No,asthma
5941,No,asthma
5951,No,asthma
5960,No,asthma
5962,No,asthma
5970,No,asthma
5982,No,asthma
5985,No,asthma
5990,No,asthma
6007,No,asthma
6008,No,asthma
6015,No,asthma
6018,No,asthma
6025,No,asthma
6032,No,asthma
6039,No,asthma
6043,No,asthma
6046,No,asthma
6047,No,asthma
6048,No,asthma
6058,No,asthma
6059,No,asthma
6062,No,asthma
6069,No,asthma
6072,No,asthma
6087,No,asthma
6088,No,asthma
6094,No,asthma
6100,No,asthma
6101,No,asthma
6102,No,asthma
6103,No,asthma
6118,No,asthma
6123,No,asthma
6128,No,asthma
6130,No,asthma
6145,No,asthma
6155,No,asthma
6160,No,asthma
6165,No,asthma
6169,No,asthma
6184,No,asthma
6191,No,asthma
6194,No,asthma
6207,No,asthma
6208,No,asthma
6210,No,asthma
6211,No,asthma
6227,No,asthma
6238,No,asthma
6239,No,asthma
6244,No,asthma
6252,No,asthma
6255,No,asthma
6256,No,asthma
6267,No,asthma
6270,No,asthma
6278,No,asthma
6284,No,asthma
6286,No,asthma
6290,No,asthma
6291,No,asthma
6305,No,asthma
6314,No,asthma
6332,No,asthma
6336,No,asthma
6338,No,asthma
6341,No,asthma
6346,No,asthma
6347,No,asthma
6348,No,asthma
6352,No,asthma
6354,No,asthma
6357,No,asthma
6358,No,asthma
6359,No,asthma
6363,No,asthma
6365,No,asthma
6368,No,asthma
6371,No,asthma
6373,No,asthma
6374,No,asthma
6377,No,asthma
6378,No,asthma
6379,No,asthma
6380,No,asthma
6386,No,asthma
6395,No,asthma
6401,No,asthma
6405,No,asthma
6407,No,asthma
6408,No,asthma
6409,No,asthma
6410,No,asthma
6414,No,asthma
6416,No,asthma
6420,No,asthma
6422,No,asthma
6423,No,asthma
6425,No,asthma
6433,No,asthma
6437,No,asthma
6439,No,asthma
6442,No,asthma
6446,No,asthma
6456,No,asthma
6467,No,asthma
6491,No,asthma
6495,No,asthma
6497,No,asthma
6506,No,asthma
6508,No,asthma
6510,No,asthma
6514,No,asthma
6515,No,asthma
6518,No,asthma
6526,No,dengue
6531,No,dengue
6547,No,dengue
6572,No,dengue
6585,No,dengue
6588,No,dengue
6598,No,dengue
6611,No,dengue
6624,No,dengue
6630,No,dengue
6645,No,dengue
6663,No,dengue
6665,No,dengue
6667,No,dengue
6676,No,dengue
6698,No,dengue
6706,No,dengue
6712,No,dengue
6718,No,dengue
6732,No,dengue
6735,No,dengue
6745,No,dengue
6754,No,dengue
6769,No,dengue
6784,No,dengue
6787,No,dengue
6809,No,dengue
6812,No,dengue
6815,No,dengue
6821,No,dengue
6823,No,dengue
6828,No,dengue
6837,No,dengue
6844,No,dengue
6849,No,dengue
6873,No,dengue
6875,No,dengue
6887,No,dengue
6904,No,dengue
6922,No,dengue
6923,No,dengue
6925,No,dengue
6965,No,dengue
6969,No,dengue
6971,No,dengue
6975,No,dengue
6999,No,dengue
7009,No,dengue
7032,No,dengue
7048,No,dengue
7078,No,dengue
7086,No,dengue
7087,No,dengue
7088,No,dengue
7104,No,dengue
7106,No,dengue
7123,No,dengue
7154,No,dengue
7163,No,dengue
7175,No,dengue
7179,No,dengue
7196,No,dengue
7203,No,dengue
7216,No,dengue
7231,No,dengue
7234,No,dengue
7242,No,dengue
7244,No,dengue
